Date,React,Svelte
2020-01-01,5929,54
2020-02-01,5817,45
2020-03-01,6629,60
2020-04-01,8228,68
2020-05-01,8313,90
2020-06-01,7992,90
2020-07-01,8112,62
2020-08-01,7309,72
2020-09-01,6960,65
2020-10-01,6757,75
2020-11-01,6449,82
2020-12-01,6585,65
2021-01-01,7250,84
2021-02-01,6489,87
2021-03-01,7614,96
2021-04-01,7162,75
2021-05-01,6998,79
2021-06-01,6692,86
2021-07-01,6701,63
2021-08-01,6735,77
2021-09-01,6914,102
2021-10-01,6431,88
2021-11-01,6435,114
2021-12-01,6357,107
2022-01-01,7128,136
2022-02-01,6530,115
2022-03-01,7142,139
2022-04-01,7223,136
2022-05-01,7066,139
2022-06-01,6800,127
2022-07-01,6961,159
2022-08-01,6803,178
2022-09-01,6156,133
2022-10-01,6007,117
2022-11-01,6129,103
2022-12-01,5648,172
2023-01-01,6816,206
2023-02-01,6168,155
2023-03-01,6162,184
2023-04-01,4925,136
2023-05-01,4678,129
2023-06-01,4664,119
2023-07-01,4658,130
2023-08-01,4492,146
2023-09-01,3612,115
2023-10-01,3523,95
2023-11-01,3316,97
2023-12-01,3093,86
